From	To
Q8VYB1-2	NM_001203413.1
P91869-2	NM_001264019.1
Q9NPJ6-2	NM_001270629.1
F4IXJ7-2	NM_113030.5
O75586-2	NM_001284209.1
O75586-3	NM_001284210.1
Q95Q17-2	NM_061184.3
Q9U1W2-2	NM_064063.4
Q96G25-2	NM_052877.4
Q96G25-3	NM_001001653.2
Q9XIM0-2	NM_001084426.1
Q02078-2	NM_001319206.1
Q02078-5	NM_005587.3
Q02078-6	NM_001171894.2
Q02078-7	NM_001130927.2
Q02078-8	NM_001130928.2
Q60929-2	NM_001291195.1
Q60929-3	NM_001291191.1
Q60929-3	NM_001291192.1
Q02080-2	NM_001145785.1
Q06413-2	NM_001308002.1
Q06413-4	NM_001193348.1
Q06413-5	NM_001193347.1
Q06413-6	NM_001131005.2
Q06413-6	XM_017009478.1
Q8CFN5-3	NM_001347571.1
Q8CFN5-3	NM_001347572.1
Q8CFN5-3	NM_001347573.1
Q8CFN5-3	NM_001347574.1
Q8CFN5-3	NM_001347575.1
Q8CFN5-3	NM_001347576.1
Q8CFN5-3	NM_001347577.1
Q8CFN5-4	NM_025282.3
Q8CFN5-4	XM_006517132.3
Q8CFN5-5	NM_001347568.1
Q8CFN5-5	NM_001347569.1
Q8CFN5-5	XM_006517126.2
Q14814-2	XM_006711332.3
Q14814-4	NM_001271629.1
Q14814-4	XM_006711333.2
Q14814-4	XM_017001314.1
Q14814-4	XM_017001315.1
Q14814-5	XM_006711334.3
P40791-2	NM_057673.5
P40791-3	NM_057671.5
P40791-4	NM_057670.5
P40791-6	NM_206067.4
O15553-3	NM_001198536.1
Q96KG7-2	NM_001308119.1
Q96KG7-2	NM_001308121.1
Q80T91-2	NM_172522.4
Q7Z7M0-2	NM_001410.2
Q5U4X3-2	XM_018228705.1
Q9D4I2-2	NM_001310435.1
Q8N635-2	NM_001163560.2
A0A5K7RLP0-2	XM_011250753.2
Q60954-2	NM_010789.3
O14770-2	NM_170677.4
O14770-3	NM_170674.4
O14770-4	NM_001220482.1
O14770-4	NM_170676.4
O14770-6	NM_172316.2
O14770-7	NM_002399.3
O14770-8	NM_172315.2
P97367-2	NM_001159567.1
P97367-3	NM_001136072.2
P97367-4	NM_010825.3
Q99687-2	NM_020160.2
Q99687-3	NM_001009813.2
P97368-2	NM_001277988.2
P97368-2	NM_001277989.2
U4PR86-2	NM_001028249.3
U4PR86-3	NM_001028250.2
U4PR86-4	NM_001307425.1
U4PR86-7	NM_001307428.1
U4PR86-8	NM_001307429.1
Q14680-2	NM_001256688.1
Q14680-3	NM_001256693.1
Q14680-4	NM_001256692.1
Q14680-5	NM_001256690.1
Q14680-6	NM_001256689.1
Q14680-6	XM_011518081.2
Q14680-6	XM_011518082.2
Q14680-7	NM_001256685.1
Q14680-8	NM_001256687.1
Q9BV36-2	NM_001042467.2
Q9BV36-3	NM_001281473.1
Q9BV36-5	NM_001281474.1
Q9VS24-2	NM_001014572.4
Q14D04-2	NM_001167911.1
Q14D04-3	NM_001167915.1
Q14D04-3	NM_001167916.1
Q14D04-4	NM_001167917.1
Q9Y316-2	NM_001137602.2
A2SXS5-1	NM_001081508.2
O00255-1	NM_000244.3
O00255-1	NM_130800.2
O00255-1	NM_130801.2
O00255-1	NM_130802.2
O00255-1	NM_130803.2
O00255-1	NM_130804.2
O88559-2	NM_001168490.1
Q0WUA3-2	NM_104743.3
Q3ED65-2	NM_202165.1
Q3ED65-2	NM_202166.2
P50221-2	NM_013999.3
P50221-3	NM_001040002.1
Q9BQA1-2	NM_001317064.1
Q7L2J0-2	NM_001194990.1
Q7L2J0-2	NM_001194991.1
Q7L2J0-2	NM_001194992.1
Q9NQ76-2	NM_001291183.1
Q9NQ76-3	NM_001184695.1
Q9NQ76-3	NM_001184696.1
Q9NQ76-3	NM_001184697.1
Q96MC5-2	NM_001142469.1
P35240-3	NM_016418.5
P35240-3	NM_181825.2
P35240-3	NM_181832.2
P35240-4	NM_181830.2
P35240-4	NM_181831.2
P35240-5	NM_181829.2
P35240-6	NM_181828.2
P35240-9	NM_181833.2
P46662-2	NM_001252250.1
P46662-2	NM_001252251.1
P46662-2	XM_006514570.2
P46662-2	XM_011243669.2
F4IMK2-2	NM_179711.2
A1L243-2	NM_001080704.1
Q8N4P3-2	NM_198527.3
Q0KHY3-1	NM_170539.1
Q0KHY3-1	NM_170540.1
Q0KHY3-2	NM_001170310.1
Q0KHY3-2	NM_001300689.1
Q5EB52-2	NM_177524.2
Q5EB52-2	NM_177525.2
Q5EB52-2	XM_017012218.1
Q5EB52-3	NM_001253901.1
Q5EB52-3	NM_001253902.1
Q07646-2	NM_001252293.1
A6NJ78-2	NM_152636.2
A6NJ78-4	NM_001297775.1
Q09357-2	NM_181931.6
Q9H7H0-3	NM_001029991.1
Q86XA0-2	NM_001206985.2
Q86XA0-2	NM_001206986.2
Q86XA0-2	NM_001206987.2
Q86XA0-2	NM_001302704.1
Q86BS6-3	NM_167907.3
P53780-2	NM_180381.3
Q99707-2	NM_001291939.1
P40320-2	NM_164361.2
P40320-3	NM_080184.2
P40320-3	NM_164355.3
P40320-4	NM_164362.3
Q94AI4-2	NM_117066.4
Q8TCB7-2	NM_001330662.1
Q9H825-2	NM_001321162.1
A2AUU0-3	NM_145524.3
A2AUU0-6	NM_001110512.1
Q9H1A3-2	NM_001077180.2
P08581-2	NM_001127500.2
Q86XN8-3	NM_001174118.1
O75121-2	NM_001009554.3
O75121-2	NM_001301647.1
O75121-2	NM_001301648.1
Q9D3X9-2	NM_001293769.1
P55001-2	NM_001135247.1
P55001-2	NM_001135248.1
P55082-2	NM_001135037.1
P55083-2	NM_001198695.1
Q9D1H9-2	NM_001347545.1
Q13361-2	NM_001297709.1
Q6PDC8-2	XM_006529345.3
Q6PDC8-2	XM_017319650.1
Q6PDC8-4	NM_172510.4
Q6PDC8-4	XM_006529344.3
Q9GZY8-2	NM_001277062.1
Q9GZY8-3	NM_001277063.1
Q9GZY8-4	NM_001277065.1
Q9GZY8-4	NM_001277066.1
Q9GZY8-5	NM_001277064.1
Q6PCP5-2	NM_001310695.1
Q6PCP5-3	NM_001310697.1
Q6PCP5-4	NM_001310699.1
Q08431-2	NM_001310321.1
Q08431-3	NM_001114614.2
Q08431-4	NM_001310319.1
Q8NCR3-2	NM_001330368.1
O00587-2	NM_001166343.1
Q9H019-2	NM_001099627.1
Q9NYZ2-4	NM_001317812.1
Q8K480-2	NM_001190314.1
O43934-2	NM_001242536.1
O43934-2	NM_001242537.1
Q6NUT3-2	NM_001287529.1
Q6NUT3-4	XM_011527684.2
Q9H3U5-4	NM_001289407.1
Q6N075-2	NM_001170790.1
Q6N075-2	XM_005269197.1
Q8IWI9-3	NM_001080541.2
O43451-1	NM_004668.2
Q9SI93-2	NM_001124829.2
Q86V88-3	NM_001199821.1
Q99685-2	NM_001256585.1
Q9M146-2	NM_116352.3
P08493-2	NM_001190839.2
O60291-2	NM_015246.3
O60291-3	NM_001142289.2
O60291-4	NM_001142291.2
Q9D074-2	NM_001252437.1
P10620-2	NM_001267598.1
Q99735-2	NM_001204368.1
Q9UM21-2	NM_001160154.1
Q812G0-2	NM_001290801.1
Q812G0-2	XM_011238526.2
Q9UQ53-3	NM_054013.3
A6H684-2	NM_001291015.1
Q3V5L5-2	NM_198955.1
Q3V5L5-5	NM_144677.2
P43294-2	NM_179039.4
A9UHW6-2	NM_001242500.1
A9UHW6-2	NM_020679.3
A9UHW6-2	XM_011525052.2
A9UHW6-3	NM_001242498.1
Q96PC5-2	NM_054024.3
Q96PC5-5	NM_001247988.1
Q96PC5-7	NM_005930.3
Q96PC5-9	NM_203356.2
Q96PC5-12	NM_001247989.1
Q96PC5-13	NM_001247990.1
Q96PC5-14	NM_203354.2
Q8N4Q1-2	NM_144636.2
Q96AX9-3	NM_001170686.1
Q96AX9-4	NM_001170688.1
Q96AX9-10	NM_001170689.1
Q8R516-2	NM_001256108.2
Q8R516-2	NM_145124.3
Q9DCZ4-2	NM_001199338.1
Q9DCZ4-2	NM_001199339.1
Q9DCZ4-3	NM_001199337.1
Q16891-2	NM_001100170.1
Q16891-4	NM_001100169.1
Q8CAQ8-2	NM_001253681.1
Q8CAQ8-3	NM_001253687.1
Q8TDZ2-2	NM_001159291.1
Q8TDZ2-4	NM_001286613.1
Q8VDP3-2	NM_001164433.1
O94851-1	NM_001282663.1
O94851-1	NM_001346292.1
O94851-1	NM_014632.3
O94851-3	NM_001282664.1
O94851-3	NM_001346293.1
O94851-3	NM_001346294.1
O94851-3	NM_001346295.1
O94851-3	NM_001346296.1
O94851-3	NM_001346297.1
O94851-3	NM_001346298.1
O94851-3	NM_001346299.1
O94851-4	NM_001282666.1
O94851-5	NM_001282665.1
O94851-6	NM_001282667.1
Q8BML1-1	NM_177282.5
Q8BML1-2	NM_001193305.1
Q8BML1-2	XM_006507954.1
D4A1F2-1	NM_001139508.1
D4A1F2-5	NM_182669.2
Q7RTP6-4	NM_001122731.2
Q7RTP6-5	NM_001136004.3
Q8CJ19-3	NM_153396.3
Q86BA1-2	NM_176443.2
Q86BA1-3	NM_176444.2
Q86BA1-4	NM_001144560.3
Q86BA1-5	NM_176450.1
Q29980-2	NM_001289161.1
A2VEI2-2	NM_135256.3
Q9BPX6-3	NM_006077.3
Q9BPX6-4	NM_001195519.1
Q8VCX5-2	NM_001291442.1
Q8VCX5-3	NM_001291443.1
Q9SZ45-2	NM_001085007.1
Q96C03-2	NM_001144900.1
Q96C03-3	NM_148886.1
Q3TPJ7-2	NM_021565.2
Q3TPJ7-2	XM_006513913.3
Q3TPJ7-3	NM_001305799.1
Q8TC71-2	NM_001297608.1
Q0P557-2	XM_006504160.2
Q0P557-3	XM_006504155.2
Q6AYL6-1	NM_199374.2
Q8N108-12	NM_001077700.2
Q8N108-13	NM_001146110.1
Q8N108-13	NM_020948.3
Q8N108-13	XM_017001924.1
Q8N108-14	NM_001077702.2
Q8N108-15	NM_001077703.2
Q8N108-16	NM_001077704.2
Q8N108-17	NM_001146112.1
Q8N108-17	XM_017001931.1
Q8N108-18	NM_001146111.1
Q8N108-19	NM_001146113.1
Q8N108-20	NM_001278215.1
Q5UAK0-1	NM_001286221.1
Q5UAK0-2	NM_001286222.1
Q5UAK0-2	NM_027696.3
Q5UAK0-2	XM_006503401.3
Q5UAK0-4	NM_001286223.1
Q3U3N0-2	NM_027422.3
Q7Z3K6-2	NM_001297598.1
Q7Z3K6-3	NM_152622.4
Q3UHF3-2	XM_006517617.1
P34400-2	NM_066420.4
G5EF33-2	NM_001029490.2
Q23356-2	NM_001029800.2
Q23356-3	NM_001029801.3
Q23356-4	NM_001029803.3
G1FC92-2	NM_001268004.2
Q22227-2	NM_001027146.2
Q22227-3	NM_001027147.2
Q4QQM5-3	NM_001162375.1
Q8VZG8-2	NM_116955.5
Q8BGT6-2	XM_006521024.1
Q8HWE5-2	NM_153760.2
Q8HWE5-2	XM_006539933.3
Q7Z6M3-2	NM_001291316.1
Q7Z6M3-3	NM_001291317.1
Q3TB92-2	NM_001271374.1
Q3TB92-2	NM_001271375.1
Q3TB92-2	XM_006533649.3
Q960V3-2	NM_080765.4
Q960V3-2	NM_164736.3
Q8N4C8-2	NM_015716.4
Q8N4C8-3	NM_170663.4
Q8N4C8-4	NM_001024937.3
Q9JM52-2	NM_016713.2
Q9UNW1-2	NM_001178117.1
Q9UNW1-4	NM_001178118.1
Q9UNW1-4	XM_011540379.2
Q8N5J2-2	NM_001040217.2
Q8N5J2-2	NM_001163260.1
Q8N5J2-3	XM_017001777.1
Q8N5J2-4	NM_001163259.1
Q76LS9-2	NM_133858.4
Q8NBR6-2	NM_001040453.2
Q8H1S0-2	NM_001203915.2
Q8TDR0-2	NM_001139490.1
Q8IXI2-2	NM_001288754.1
Q8IXI2-3	NM_001033568.2
Q8IXI2-7	NM_001033566.2
Q8BG51-2	NM_001163354.1
Q8BG51-3	NM_001163355.1
Q8IMX7-2	NM_001275966.1
Q8IMX7-2	NM_142948.4
O75030-2	NM_198159.2
O75030-6	NM_006722.2
O75030-8	NM_198177.2
O75030-9	NM_000248.3
O75030-10	NM_198158.2
O75030-11	NM_198178.2
O75030-12	NM_001184967.1
Q08874-8	NM_008601.3
Q08874-9	XM_006505695.3
Q96ER9-2	NM_001256965.2
Q96ER9-2	NM_001256966.2
Q96ER9-2	NM_001256967.2
Q96ER9-2	NM_001256968.2
Q96ER9-2	NM_001256969.2
Q9NUT2-2	NM_007188.4
Q9NUT2-3	NM_001282292.1
Q9NUT2-4	NM_001282293.1
Q9H2W2-2	NM_001282402.1
P27361-2	NM_001109891.1
P27361-3	NM_001040056.2
Q13164-2	NM_139032.2
Q13164-2	XM_011523957.2
Q9WVS8-2	NM_001291033.1
Q9WVS8-3	NM_001291035.1
Q9WVS8-3	NM_001291036.1
Q9WVS8-3	XM_006533280.3
Q9WVS8-3	XM_006533284.3
Q9WVS8-3	XM_006533285.3
Q9WVS8-3	XM_006533286.3
P45983-2	NM_001323302.1
P45983-2	NM_001323324.1
P45983-2	NM_001323326.1
P45983-2	NM_001323327.1
P45983-3	NM_001323321.1
P45983-3	NM_001323325.1
P45983-3	NM_139046.3
P45983-4	NM_001278547.1
P45983-4	NM_001323322.1
P45983-4	NM_001323323.1
P45983-4	NM_001323330.1
P45983-5	NM_001278548.1
P45984-2	NM_139068.2
P45984-3	NM_139069.2
P45984-4	NM_139070.2
P45984-5	NM_001135044.1
Q9WTU6-2	NM_016961.3
Q9WTU6-3	NM_001163672.1
Q9WTU6-4	NM_207692.2
P53779-2	NM_002753.4
P53779-3	NM_138980.3
P49187-2	NM_012806.2
P49187-2	XM_017599083.1
P53778-2	NM_001303252.2
Q16539-2	NM_001315.2
Q16539-3	NM_139013.2
Q16539-4	NM_139014.2
P47811-3	NM_001168508.1
P47811-4	NM_001168513.1
P47811-4	NM_001168514.1
Q9UL63-2	NM_001321316.1
Q9HBH9-2	NM_017572.3
Q9UHC7-2	XM_011515997.2
Q9UHC7-2	XM_011515998.1
Q9UHC7-4	NM_001145125.1
Q9H000-2	NM_001271707.1
Q9N373-2	NM_001028340.3
P21741-2	NM_001270552.1
P06742-2	NM_057291.4
Q24654-2	XM_016174553.1
Q24756-2	XM_015170514.1
P24785-3	NM_165451.3
P58340-2	NM_001195433.1
P58340-5	NM_001130156.2
P58340-5	NM_001130157.2
P58340-4	NM_001195432.1
P58340-4	NM_001195434.1
Q9NKV0-2	NM_079029.5
Q9NKV0-3	NM_166123.4
Q9NKV0-4	NM_166122.4
P40692-2	NM_001167618.1
P40692-2	NM_001167619.1
P40692-2	NM_001258273.1
P40692-2	NM_001258274.1
P40692-3	NM_001167617.1
Q9UHC1-2	XM_017021219.1
Q5VWP3-1	NM_138569.2
Q5VWP3-4	NM_001281746.1
Q5FW52-1	NM_027150.1
A0A0K3AV08-2	NM_171928.3
A0A0K3AV08-3	NM_171456.5
A0A0K3AV08-4	NM_001313223.1
Q8NB16-2	NM_001142497.2
Q9D2Y4-2	NM_029005.3
Q9H492-2	NM_181509.2
Q62625-2	NM_022867.2
Q9NP71-2	NM_032952.2
Q9NP71-3	NM_032953.2
Q9NP71-4	NM_032954.2
Q9UH92-2	NM_198205.1
Q9UH92-3	NM_198204.1
Q86B87-16	NM_176527.1
Q86B87-28	NM_176524.1
Q86B87-23	NM_176523.1
Q86B87-13	NM_176525.1
Q86B87-25	NM_176522.1
Q86B87-4	NM_176526.1
Q86B87-17	NM_163878.2
Q86B87-29	NM_001104386.2
Q86B87-30	NM_001104388.2
Q86B87-31	NM_001104387.2
Q86B87-27	NM_163883.2
Q86B87-9	NM_163891.2
Q86B87-24	NM_163879.2
Q86B87-2	NM_163890.2
Q86B87-8	NM_080197.3
Q86B87-15	NM_163880.2
Q86B87-10	NM_163882.2
Q86B87-6	NM_163884.2
Q86B87-19	NM_163885.2
Q86B87-11	NM_163888.2
Q86B87-18	NM_163887.2
Q86B87-14	NM_163889.2
Q86B87-3	NM_163894.2
Q86B87-5	NM_163893.2
Q86B87-7	NM_163886.2
Q86B87-20	NM_163877.2
Q86B87-12	NM_163892.2
Q9ULZ9-2	XM_011538355.2
Q9ULZ9-2	XM_011538356.2
Q99542-5	NM_001272101.1
O88676-2	NM_001320235.1
Q9H239-2	NM_001032278.2
P08253-2	NM_001302508.1
P08253-2	NM_001302509.1
P08253-2	NM_001302510.1
P08253-3	NM_001127891.2
O44836-3	NM_065195.2
Q96T76-5	NM_001330128.1
Q96T76-9	NM_001289403.1
Q7KW39-2	NM_166844.1
Q02252-2	NM_001278593.1
Q8C4X7-2	XM_006525878.3
P49657-3	NM_170658.3
P49657-2	NM_001014750.2
Q8GYD2-2	NM_001085000.2
Q8I113-2	NM_063871.4
Q8L7T9-2	NM_001036998.1
O45879-2	NM_075590.3
Q9C512-2	NM_001036094.1
P50219-2	NM_001165255.1
Q8TD46-1	NM_170780.2
Q8TD46-2	NM_138939.2
Q8TD46-3	NM_138940.2
Q6Q8B3-2	NM_001199215.1
Q5UKY4-2	XM_006522674.3
Q5UKY4-2	XM_017317152.1
Q5UKY4-2	XM_017317153.1
Q5UKY4-3	NM_001128132.1
Q5UKY4-4	NM_029018.4
Q5UKY4-7	XM_017317154.1
Q5UKY4-8	NM_001128133.1
Q5UKY4-9	NM_027578.1
Q9UBU8-2	NM_006791.3
Q9UBU8-3	NM_001265603.1
Q9UBU8-3	NM_001265604.1
Q9UBU8-3	NM_001265605.1
P60762-2	NM_024431.3
Q7L9L4-2	NM_001244766.1
Q7L9L4-2	XM_005265709.2
Q8IQG1-2	NM_168461.2
Q8IQG1-3	NM_001274784.1
Q8IQG1-3	NM_168462.2
Q8IQG1-4	NM_140217.2
Q70IA6-3	NM_001172223.2
Q8VI63-2	NM_001347560.1
Q13875-3	NM_182935.3
Q13875-4	NM_001278322.1
Q9D2P8-2	NM_008614.2
Q63327-5	NM_012720.1
Q20624-2	NM_077210.5
Q8IQF1-2	NM_176317.2
Q9NZB8-5	NM_001075098.3
Q9NZB8-6	NM_005943.5
Q5RKZ7-2	NM_028464.1
Q9ZNW0-2	NM_001036999.1
A1A4L8-2	NM_001081734.2
Q9GQ00-2	NM_001028863.3
Q9GQ00-3	NM_001028864.2
Q9H3H1-4	NM_001312691.1
Q9H3H1-5	NM_001312692.1
P46150-3	NM_167169.2
P46150-4	NM_167168.4
P46150-5	NM_167170.2
P46150-2	NM_080343.4
P46150-2	NM_206665.3
P46150-2	NM_206666.3
P46150-2	NM_206667.3
P46150-2	NM_206668.3
P46150-2	NM_206669.2
Q9HD47-2	NM_001177801.1
Q9HD47-3	NM_001177802.1
Q9HD47-4	NM_001330127.1
Q19426-2	NM_001083213.3
Q19426-3	NM_001129299.2
Q13724-2	NM_001146158.1
Q86VF5-2	NM_001287147.1
Q86VF5-3	XM_005250309.3
Q29ZQ1-2	NM_001257243.1
Q16653-2	NM_206812.3
Q16653-3	NM_001008228.2
Q16653-4	NM_206814.5
Q16653-5	NM_002433.4
Q16653-6	NM_206810.3
Q16653-7	NM_206811.3
Q16653-11	NM_001008229.2
Q16653-12	NM_001170418.1
Q9BGS7-2	XM_005553677.2
Q9UQ07-5	NM_001272011.1
Q9UQ07-6	NM_001330234.1
A0A0K3AWM6-2	NM_060234.4
Q86VX9-2	NM_001142501.1
Q86VX9-5	NM_032355.3
Q86VX9-5	XM_006713345.3
Q86VX9-5	XM_011534160.1
Q7L1V2-2	NM_001286640.1
Q19338-2	NM_001268694.1
Q7Z3U7-2	NM_001278469.1
Q7Z3U7-5	NM_001278470.1
Q80TL7-2	NM_153395.2
Q9Y6X9-2	NM_014941.3
Q8TE76-3	NM_001085354.2
Q8BMD7-2	NM_029413.4
F4K2G3-2	NM_001203371.1
O49429-2	NM_202850.3
Q84JZ6-2	NM_111559.3
Q5T089-2	NM_001301060.1
Q8C5T4-2	NM_001347456.1
Q8C5T4-2	XM_006530478.3
Q3U9N9-2	NM_028247.4
O15374-2	NM_001201547.1
O15374-3	NM_001201549.1
O15374-4	NM_001201548.1
O15374-5	NM_001201546.1
Q8R0M8-2	NM_001310705.1
B1AT66-2	NM_001029842.1
B1AT66-2	NM_134038.2
P12872-2	NM_001184698.1
P12872-3	NM_001040109.1
Q5TZ24-1	NM_001045206.2
Q2QL34-2	NM_173803.3
Q99MS3-2	NM_001289562.1
Q99MS3-3	NM_001289563.1
Q99MS3-3	NM_001289565.1
Q99MS3-3	NM_001289567.1
A0A126GUP6-2	NM_141193.4
A0A126GUP6-3	NM_001144530.2
Q02750-2	XM_017022411.1
P46734-2	NM_001316332.1
P46734-2	NM_002756.4
P46734-2	XM_011523959.1
P46734-2	XM_017024859.1
P45985-2	NM_001281435.1
Q13163-2	NM_002757.3
Q13163-4	NM_001206804.1
Q62862-2	NM_017246.2
P52564-2	NM_001330450.1
P52564-2	XM_005257516.2
P52564-2	XM_006721975.3
P52564-2	XM_011525027.2
O14733-3	NM_001297555.1
O14733-4	NM_001297556.1
Q8CE90-2	NM_011944.3
Q8CE90-3	NM_001291778.1
Q8CE90-4	NM_001291783.1
Q8CE90-6	NM_001164172.1
Q8CE90-7	NM_001042557.2
Q8CE90-8	NM_001291777.1
P38718-2	XM_006250126.2
Q8LD38-2	NM_001036510.3
O75970-2	NM_003829.4
O75970-2	XM_006716888.3
O75970-3	NM_001261406.1
O75970-5	NM_001261407.1
Q8VBX6-2	NM_001305286.1
P30304-2	NM_201567.1
P30305-2	NM_004358.4
P30305-3	NM_021872.3
P30307-4	NM_022809.3
P34949-2	NM_001289157.1
Q9LMM5-2	NM_001331282.1
Q9LMM5-2	NM_100038.4
Q9LQQ9-2	NM_100662.4
Q8N594-2	NM_001159846.2
Q14168-5	NM_001278374.1
Q8BVD5-2	NM_001161620.1
Q10713-2	NM_001282944.1
Q42290-2	NM_180169.1
Q15777-2	NM_001145399.1
Q95X35-2	NM_001264513.2
Q9VLR9-2	NM_001273302.1
Q9VLR9-2	NM_164798.3
Q53F39-2	XM_017025930.1
Q53F39-3	XM_011525732.1
Q53F39-4	NM_001242904.1
Q53F39-4	NM_001319154.1
Q80XL7-2	NM_172630.2
Q6WCQ1-2	NM_015134.3
P97434-2	NM_201245.3
P97434-3	XM_006533440.1
Q9LTI3-2	NM_001203640.2
O95297-3	NM_024569.4
O95297-5	NM_001146191.1
Q6UWV2-2	NM_001286152.1
Q8TCY5-2	NM_206898.1
Q8TCY5-3	NM_001285394.1
Q5VT25-3	NM_014826.4
Q5VT25-5	NM_003607.3
Q5VT25-6	XM_005273321.3
P49959-2	NM_005590.3
Q61216-2	NM_001310728.1
A7DTF0-2	NM_067274.3
Q6NTE8-3	NM_001017987.2
Q8NDA8-4	NM_001099280.2
Q8NDA8-4	NM_001099281.2
Q5TGP6-2	NM_001163629.1
O15438-5	NM_001144070.1
B2RX12-2	NM_029600.3
O15439-2	NM_001301829.1
O15439-3	NM_001105515.2
O15439-4	NM_001301830.1
O15440-4	NM_001023587.2
O15440-4	XM_017005493.1
O95255-2	NM_001079528.3
Q5T3U5-2	NM_033450.2
Q8R4P9-2	NM_145140.2
Q8R4P9-3	NM_001347396.1
Q96J66-2	NM_145186.2
O15091-2	NM_001256678.1
O15091-3	NM_001256680.1
O15091-3	NM_001256681.1
O15091-4	NM_001256679.1
Q9FLG2-2	NM_125852.2
Q304A0-2	NM_180471.3
Q304A0-3	NM_203028.3
Q304A0-4	NM_001085088.1
Q9HD23-2	NM_001286265.1
Q9HD23-4	NM_001286264.1
Q9ET09-2	XM_006253937.3
Q9ULH7-4	NM_014048.4
Q9ULH7-4	XM_006720914.2
Q9ULH7-5	NM_001308142.1
Q9ULH7-5	XM_005255452.3
Q9ULH7-5	XM_006720909.3
Q9ULH7-5	XM_011522568.2
Q9ULH7-5	XM_017023501.1
Q9ULH7-5	XM_017023502.1
Q8N5Y2-3	NM_001193270.2
Q8N5Y2-4	NM_006800.3
Q8N5Y2-5	NM_078628.1
Q8N5Y2-6	NM_001282174.1
Q9WVG9-2	NM_010832.5
Q96HJ5-2	NM_001031809.1
Q96HJ5-3	NM_001031666.1
Q9GZW8-2	NM_206938.1
Q9GZW8-2	NM_206940.1
Q6P1R3-2	NM_001312920.1
Q6P1R3-2	NM_001312921.1
Q6P1R3-3	NM_024631.3
Q6NZR2-2	XM_006510232.3
Q96H12-2	NM_001198807.1
P43246-2	NM_001258281.1
O43196-2	NM_172165.3
O43196-4	NM_025259.5
P52701-3	NM_001281492.1
P52701-4	NM_001281493.1
P52701-4	NM_001281494.1
Q96DH6-2	NM_170721.1
Q9VVE5-2	NM_001104161.3
Q9VVE5-3	NM_001104162.4
Q68DK7-3	NM_001012241.1
Q56X46-2	NM_001203349.1
Q56X46-3	NM_001085098.2
Q9HCI7-2	NM_001145417.1
Q9HCI7-2	XM_005247571.3
Q9HCI7-2	XM_011512949.2
Q13421-3	NM_001177355.2
Q13421-3	NM_005823.5
P08118-2	NM_138634.2
Q15800-2	NM_001017369.2
P54815-2	NM_069460.1
Q9UJG1-2	NM_001306188.1
Q9UJG1-2	XM_017029654.1
Q8VEL0-2	NM_027409.5
Q8NHP6-2	NM_001177475.1
Q9CWP6-2	NM_001290524.1
Q9CWP6-3	NM_001290523.1
O75425-4	NM_001040099.1
Q9SL43-2	NM_201754.1
P08761-2	NM_168622.2
Q9UJ68-2	NM_001199729.2
Q9UJ68-2	XM_017013450.1
Q9UJ68-3	NM_001135671.2
Q9UJ68-4	NM_001135670.2
Q9D6Y7-3	NM_001253715.1
Q9D6Y7-4	NM_001253716.1
Q9C8M2-2	NM_001124012.1
Q9C5C8-2	NM_001084954.2
Q8IXL7-2	NM_001031679.2
Q8IXL7-2	NM_001193460.1
Q8IXL7-2	NM_001193461.1
Q5R930-2	NM_001133983.1
Q5R930-2	XM_009247983.1
Q5R930-2	XM_009247984.1
Q8VY86-2	NM_001084953.1
Q84JT6-2	NM_179087.1
Q8INK9-2	NM_141773.4
Q8INK9-2	NM_206473.4
Q8INK9-3	NM_169370.4
Q8INK9-4	NM_169368.3
Q8INK9-6	NM_001144564.3
Q8INK9-7	NM_169371.4
P21758-2	NM_174113.2
P21757-2	NM_002445.3
P21757-3	NM_138716.2
Q8LPQ8-2	NM_001203994.1
Q8LPQ8-2	NM_001342339.1
Q8LPQ8-2	NM_001342340.1
Q8LPQ8-2	NM_001342343.1
Q8LPQ8-2	NM_001342341.1
Q8LPQ8-2	NM_001342342.1
Q8LPQ8-2	NM_179234.2
Q9BUK6-2	NM_001256532.1
Q9BUK6-3	NM_001256533.1
Q9BYG7-2	NM_001127175.1
Q9BYG7-5	NM_001127176.1
Q9BYG7-6	NM_001127174.1
Q9BYG7-6	XM_011526226.2
P13640-2	NM_005950.2
Q8WXB1-2	NM_001330131.1
Q8WXB1-2	NM_001330133.1
Q8WXB1-2	NM_001330135.1
Q9H867-5	NM_001040662.1
A7IQW5-2	NM_069933.5
Q96FB5-2	NM_001142560.1
Q9LS10-2	NM_001203504.1
Q13330-2	NM_001203258.1
O94776-2	NM_001330292.1
Q9BTC8-2	NM_020744.3
P11137-2	NM_031845.2
P11137-4	NM_001039538.1
P15146-3	XM_008767208.2
Q8BJS8-2	NM_001168250.1
Q9NZJ7-2	NM_014341.2
Q791T5-2	NM_001347335.1
Q791T5-2	XM_006524670.1
Q5R5M0-2	NM_001133915.1
Q9Y4B5-3	NM_015210.3
Q3UHU5-3	NM_001114098.1
Q9H903-1	NM_001004346.3
Q04448-2	NM_001275469.1
Q04448-2	NM_057582.5
P13995-2	XM_006711924.2
Q9Y483-3	NM_001164391.1
Q9Y483-3	NM_001164393.1
Q9Y483-4	NM_001164392.1
Q02395-2	NM_001253877.1
Q02395-2	NM_001253878.1
Q02395-2	NM_001253879.1
Q02395-2	NM_001253880.1
Q02395-2	XM_011249416.2
